"","Foliage","DBH","Age","Origin"
"81",0.79,13.35,53,"Natural"
"82",1.16,10,39,"Natural"
"83",0.32,8.15,34,"Natural"
"84",1.09,14.8,51,"Natural"
"85",1.15,12.9,49,"Natural"
"86",3.44,18.6,52,"Natural"
"87",3.71,20.3,46,"Natural"
"88",0.34,18.25,46,"Natural"
"89",0.11,6.75,32,"Natural"
"90",7.28,26.75,67,"Natural"
"91",4.06,27.3,46,"Natural"
"92",4.61,19.35,98,"Natural"
"93",0.88,10.25,42,"Natural"
"94",1.84,17.9,46,"Natural"
"95",0.58,7.2,53,"Natural"
"96",1.11,13.75,43,"Natural"
"97",1.42,14.35,53,"Natural"
"98",2.75,21.45,66,"Natural"
"99",3.36,19.3,52,"Natural"
"100",3,18.25,47,"Natural"
"101",1.73,16.65,48,"Natural"
"102",2.15,16.15,71,"Natural"
"103",1.06,15.4,38,"Natural"
"104",0.86,13.2,43,"Natural"
"105",0.55,12.15,36,"Natural"
"106",0.51,9.55,53,"Natural"
"107",0.19,7.15,34,"Natural"
"108",6.98,33.5,104,"Natural"
"109",0.14,9.05,37,"Natural"
"110",0.22,11.25,35,"Natural"
"111",2.86,16.75,50,"Natural"
"112",0.65,15.5,46,"Natural"
"113",1.91,19.25,68,"Natural"
"114",1.56,16.5,69,"Natural"
"115",4.29,27.75,82,"Natural"
"116",4.25,22.58,67,"Natural"
"117",5.52,31.55,70,"Natural"
"118",1.62,19.35,61,"Natural"
"119",1.02,19.3,68,"Natural"
"120",0.41,15.8,62,"Natural"
"121",0.37,7.3,40,"Natural"
"122",0.54,10.4,40,"Natural"
"123",2.3,30,98,"Natural"
"124",2.16,22.4,75,"Natural"
"125",1.67,26.85,80,"Natural"
"126",1.05,24.75,55,"Natural"
"127",1.95,27.45,130,"Natural"
"128",1.95,23.05,54,"Natural"
"129",0.85,19.75,98,"Natural"
"130",0.34,11.85,48,"Natural"
"131",1.6,23.15,85,"Natural"
"132",0.78,16,42,"Natural"
"133",0.29,9.1,29,"Natural"
"134",0.58,14.05,40,"Natural"
"135",0.21,8.95,22,"Natural"
"136",0.19,9.65,26,"Natural"
"137",0.11,6.7,12,"Natural"
"138",0.76,16.55,63,"Natural"
"139",0.35,11.44,46,"Natural"
"140",0.11,7.5,20,"Natural"
"141",1.44,23.6,88,"Natural"
"142",0.99,23.2,63,"Natural"
"143",0.23,11.15,20,"Natural"
"144",7.15,38.9,141,"Natural"
"145",5.18,34.6,102,"Natural"
"146",0.71,16.3,56,"Natural"
"147",0.83,16.9,45,"Natural"
"148",0.31,10.2,30,"Natural"
"149",0.81,19.3,55,"Natural"
"150",1.23,17.85,51,"Natural"
"151",0.4,12.85,33,"Natural"
"152",2.5,22.9,60,"Natural"
"153",0.27,11.95,17,"Natural"
"154",2.02,28.25,72,"Natural"
"155",0.69,19,49,"Natural"
"156",1.06,21.55,68,"Natural"
"157",0.37,14.05,31,"Natural"
"158",0.46,14.8,46,"Natural"
"159",0.7,18.15,56,"Natural"
"160",1.11,24.35,60,"Natural"
"161",0.21,10.4,18,"Natural"
"162",0.21,12.1,25,"Natural"
"163",0.54,14.8,35,"Natural"
"164",0.49,16.1,29,"Natural"
"165",0.49,17.6,43,"Natural"
"166",0.6,20.7,43,"Natural"
"167",0.61,21.95,54,"Natural"
"168",0.33,11.65,25,"Natural"
"169",0.41,13.95,39,"Natural"
"170",0.63,18,43,"Natural"
"171",0.71,19.4,48,"Natural"
"172",0.62,21.75,63,"Natural"
"173",0.42,15.9,44,"Natural"
"174",0.38,14,41,"Natural"
"175",0.16,5.25,51,"Natural"
"176",0.16,6.25,46,"Natural"
"177",0.91,9.5,44,"Natural"
"178",0.34,6.5,30,"Natural"
"179",0.15,4.8,23,"Natural"
"180",0.23,7.3,29,"Natural"
"181",0.64,10.1,38,"Natural"
"182",0.75,11,35,"Natural"
"183",0.75,11.9,39,"Natural"
"184",0.78,12.8,39,"Natural"
"185",0.93,14.4,38,"Natural"
"186",0.92,16.4,38,"Planted"
"187",3.69,18.4,38,"Planted"
"188",0.82,12.8,37,"Planted"
"189",1.09,14.1,42,"Planted"
"190",0.08,6.4,35,"Planted"
"191",0.59,12,32,"Planted"
"192",0.17,9.5,37,"Planted"
"193",0.06,4.7,13,"Planted"
"194",1.44,16.4,44,"Planted"
"195",3.94,17.8,47,"Planted"
"196",3.94,17.1,42,"Planted"
"197",2.73,15.1,37,"Planted"
"198",1.27,13.3,40,"Planted"
"199",0.79,10.4,46,"Planted"
"200",0.92,9.1,32,"Planted"
"201",0.32,7.7,30,"Planted"
"202",0.44,5.5,25,"Planted"
"203",1.77,14.6,30,"Planted"
"204",1.4,13,32,"Planted"
"205",1.77,11.2,28,"Planted"
"206",0.77,9.8,32,"Planted"
"207",0.43,9.2,27,"Planted"
"208",0.2,7.5,24,"Planted"
"209",0.04,5.4,21,"Planted"
"210",0.04,3.7,13,"Planted"
"211",0.64,14.3,51,"Planted"
"212",2.54,19.5,58,"Planted"
"213",1.98,15.5,65,"Planted"
"214",3.29,24,68,"Planted"
"215",5.65,27.7,66,"Planted"
"216",12.48,31.6,66,"Planted"
"217",11.03,37.2,68,"Planted"
"218",2.04,20.5,50,"Planted"
"219",8.38,31,65,"Planted"
"220",6.53,26.3,68,"Planted"
"221",5.22,27.5,68,"Planted"
"222",3.49,23.4,65,"Planted"
"223",1.74,16.8,37,"Planted"
"224",0.41,10.6,34,"Planted"
"225",7.71,31.7,62,"Planted"
"226",13.56,28.8,64,"Planted"
"227",10.61,26.4,63,"Planted"
"228",1.97,22.2,63,"Planted"
"229",0.44,18.9,61,"Planted"
"230",0.94,15.8,57,"Planted"
"231",0.48,12.2,39,"Planted"
"232",11.86,33.7,57,"Planted"
"233",9.08,31.7,51,"Planted"
"234",4.53,22.3,49,"Planted"
"235",3.6,21.7,51,"Planted"
"236",2.75,20.2,53,"Planted"
"237",1.67,16.5,48,"Planted"
"238",0.28,9,29,"Planted"
"239",0.39,12.5,49,"Planted"
"240",1.47,15,23,"Planted"
"241",0.64,10.6,21,"Planted"
"242",1.39,12.2,21,"Planted"
"243",2.34,17.9,25,"Planted"
"244",1.53,15.8,25,"Planted"
"245",1,14,22,"Planted"
"246",0.58,9.3,24,"Planted"
"247",2.16,18.5,42,"Planted"
"248",1.33,17.2,40,"Planted"
"249",0.91,15.9,41,"Planted"
"250",1.11,14.6,40,"Planted"
"251",0.36,12.7,33,"Planted"
"252",0.12,9,34,"Planted"
"253",0.27,7.2,24,"Coppice"
"254",0.03,3.1,11,"Coppice"
"255",0.04,3.3,12,"Coppice"
"256",0.03,3.1,11,"Coppice"
"257",0.01,3.3,12,"Coppice"
"258",0.07,3.3,12,"Coppice"
"259",0.26,4.8,16,"Coppice"
"260",0.16,5.1,15,"Coppice"
"261",0.15,5.2,14,"Coppice"
"262",0.25,5.3,15,"Coppice"
"263",0.33,5.9,16,"Coppice"
"264",0.09,3.5,11,"Coppice"
"265",0.21,4.1,12,"Coppice"
"266",0.15,4.7,10,"Coppice"
"267",0.3,5.2,11,"Coppice"
"268",0.36,5.6,12,"Coppice"
"269",0.21,7.6,11,"Coppice"
"270",0.48,7.5,11,"Coppice"
"271",0.6,8.3,17,"Coppice"
"272",0.66,8.8,15,"Coppice"
"273",1.12,11.1,17,"Coppice"
"274",0.15,6.4,18,"Coppice"
"275",0.4,8.3,21,"Coppice"
"276",0.65,10,24,"Coppice"
"277",0.65,10.3,25,"Coppice"
"278",1,11.9,27,"Coppice"
"279",1.85,13.7,30,"Coppice"
"280",0.35,7.2,21,"Coppice"
"281",0.82,9.3,26,"Coppice"
"282",1.06,11.1,24,"Coppice"
"283",1.06,11.3,25,"Coppice"
"284",1.57,13.2,29,"Coppice"
"285",1.92,14.1,31,"Coppice"
"286",0.15,5.4,21,"Coppice"
"287",0.29,7.2,23,"Coppice"
"288",0.51,9.3,23,"Coppice"
"289",0.73,8.9,25,"Coppice"
"290",1.21,11.3,28,"Coppice"
"291",1.75,12.8,30,"Coppice"
"292",0.1,4.4,21,"Coppice"
"293",0.2,6.2,23,"Coppice"
"294",0.74,7.8,25,"Coppice"
"295",0.74,8.3,26,"Coppice"
"296",1.23,9.9,28,"Coppice"
"297",1.57,11.7,30,"Coppice"
"298",1.97,13.8,32,"Coppice"
"299",0.29,11.6,40,"Coppice"
"300",0.84,14.5,34,"Coppice"
"301",1.2,15.4,36,"Coppice"
"302",1.19,19.5,38,"Coppice"
"303",1.09,20,53,"Coppice"
"304",1.85,20.7,50,"Coppice"
"305",3.4,24.2,50,"Coppice"
"306",3.6,24.6,59,"Coppice"
"307",2.82,26.9,54,"Coppice"
"308",6.53,29.9,65,"Coppice"
"309",0.28,10.7,43,"Coppice"
"310",0.92,16.2,49,"Coppice"
"311",0.68,17,44,"Coppice"
"312",0.66,16.8,49,"Coppice"
"313",2.42,21.1,69,"Coppice"
"314",2.02,20.7,59,"Coppice"
"315",2.06,20.9,60,"Coppice"
"316",2.64,26.1,68,"Coppice"
"317",2.91,27.2,58,"Coppice"
"318",3.7,34.4,71,"Coppice"
"319",0.3,9.3,51,"Coppice"
"320",0.14,11.1,50,"Coppice"
"321",3.24,14.6,59,"Coppice"
"322",1.38,15.9,62,"Coppice"
"323",1.06,17.4,55,"Coppice"
"324",3.3,19.6,61,"Coppice"
"325",2.33,18.3,63,"Coppice"
"326",2.4,21.6,59,"Coppice"
"327",7.53,24.4,65,"Coppice"
"328",2.63,28.8,66,"Coppice"
"329",1.1,9.2,39,"Coppice"
"330",1.47,16.6,68,"Coppice"
"331",4.11,19.7,62,"Coppice"
"332",3.02,21.1,56,"Coppice"
"333",3.03,21.5,70,"Coppice"
"334",3.56,23.5,62,"Coppice"
"335",3.07,27.4,69,"Coppice"
"336",3.95,26.5,72,"Coppice"
"337",0.52,13.2,38,"Coppice"
"338",0.9,16.3,52,"Coppice"
"339",0.87,22.8,67,"Coppice"
"340",0.96,25.4,69,"Coppice"
"341",2.17,25.7,69,"Coppice"
"342",1.02,25.6,69,"Coppice"
"343",2.26,28.7,68,"Coppice"
"344",0.5,31.8,70,"Coppice"
"345",2.03,37.4,76,"Coppice"
"346",0.75,8.8,24,"Coppice"
"347",1.87,10.4,34,"Coppice"
"348",1.26,13.8,46,"Coppice"
"349",2.37,18.1,64,"Coppice"
"350",0.68,18.4,65,"Coppice"
"351",1.43,22.4,60,"Coppice"
"352",2.37,23.1,68,"Coppice"
"353",2.5,23,56,"Coppice"
"354",2.35,25.9,66,"Coppice"
"355",4.74,30.8,94,"Coppice"
"356",0.82,11.9,41,"Coppice"
"357",0.58,14.2,58,"Coppice"
"358",2.17,17.9,64,"Coppice"
"359",2.02,18.5,65,"Coppice"
"360",1.88,19.1,86,"Coppice"
"361",1.74,20,74,"Coppice"
"362",1.98,20.2,73,"Coppice"
"363",3.84,24,64,"Coppice"
"364",5.1,27.5,77,"Coppice"
"365",7.35,33.6,84,"Coppice"
"366",0.12,5.2,31,"Coppice"
"367",1.67,12.1,44,"Coppice"
"368",1.75,13.8,70,"Coppice"
"369",3.47,16.4,72,"Coppice"
"370",0.29,16.1,69,"Coppice"
"371",2.56,17.6,67,"Coppice"
"372",2.32,18.5,57,"Coppice"
"373",3.3,20,83,"Coppice"
"374",2.05,20.2,71,"Coppice"
"375",4.22,23.2,84,"Coppice"
"376",6.43,23,87,"Coppice"
"377",14.01,25.5,74,"Coppice"
"378",7.06,25.3,78,"Coppice"
"379",2.6,28.7,86,"Coppice"
"380",9.8,27.9,84,"Coppice"
"381",3.6,28.9,86,"Coppice"
"382",3.87,30,80,"Coppice"
"383",14.08,32.2,79,"Coppice"
"384",3.9,35.4,88,"Coppice"
"385",3.64,36.7,84,"Coppice"
