Year,Rain,SOI,Phase,RainRecorded,SOIPositive
1961,11.2,-0.3,Phase 5,Rainfall recorded,Non-positive SOI
1962,0,4.5,Phase 4,No rainfall recorded,Positive SOI
1963,68.8,-2.8,Phase 5,Rainfall recorded,Non-positive SOI
1964,2.5,14.2,Phase 4,Rainfall recorded,Positive SOI
1965,2.3,-10.1,Phase 1,Rainfall recorded,Non-positive SOI
1966,131,4.5,Phase 4,Rainfall recorded,Positive SOI
1967,24.4,5.7,Phase 4,Rainfall recorded,Positive SOI
1968,11.5,0.3,Phase 5,Rainfall recorded,Positive SOI
1969,0,-4,Phase 5,No rainfall recorded,Non-positive SOI
1970,11.9,3.9,Phase 4,Rainfall recorded,Positive SOI
1971,94.2,14.2,Phase 4,Rainfall recorded,Positive SOI
1972,5.1,-8.2,Phase 1,Rainfall recorded,Non-positive SOI
1973,27.7,11.8,Phase 2,Rainfall recorded,Positive SOI
1974,42.4,6.3,Phase 2,Rainfall recorded,Positive SOI
1975,14.7,19.7,Phase 2,Rainfall recorded,Positive SOI
1976,6.3,-11.3,Phase 1,Rainfall recorded,Non-positive SOI
1977,4,-11.3,Phase 1,Rainfall recorded,Non-positive SOI
1978,30.4,2.1,Phase 5,Rainfall recorded,Positive SOI
1979,2.2,-4.6,Phase 3,Rainfall recorded,Non-positive SOI
1980,6.3,1.5,Phase 5,Rainfall recorded,Positive SOI
1981,9,5.1,Phase 2,Rainfall recorded,Positive SOI
1982,0.6,-22.2,Phase 1,Rainfall recorded,Non-positive SOI
1983,17.6,0.9,Phase 4,Rainfall recorded,Positive SOI
1984,13.2,2.1,Phase 5,Rainfall recorded,Positive SOI
1985,9.8,8.2,Phase 4,Rainfall recorded,Positive SOI
1986,17.4,-7,Phase 3,Rainfall recorded,Non-positive SOI
1987,7.1,-13.1,Phase 1,Rainfall recorded,Non-positive SOI
1988,90,14.2,Phase 2,Rainfall recorded,Positive SOI
1989,0,-5.6,Phase 3,No rainfall recorded,Non-positive SOI
1990,0,-4.4,Phase 5,No rainfall recorded,Non-positive SOI
1991,0,-6.8,Phase 3,No rainfall recorded,Non-positive SOI
1992,18.2,0.8,Phase 5,Rainfall recorded,Positive SOI
1993,63.3,-13,Phase 1,Rainfall recorded,Non-positive SOI
1994,0,-15.7,Phase 1,No rainfall recorded,Non-positive SOI
1995,31.8,1.2,Phase 5,Rainfall recorded,Positive SOI
1996,25.6,4.8,Phase 2,Rainfall recorded,Positive SOI
1997,8.9,-18,Phase 3,Rainfall recorded,Non-positive SOI
1998,122.6,9.7,Phase 2,Rainfall recorded,Positive SOI
1999,6,3.3,Phase 5,Rainfall recorded,Positive SOI
2000,35.6,4.5,Phase 4,Rainfall recorded,Positive SOI
2001,0.3,-8.3,Phase 5,Rainfall recorded,Non-positive SOI
2002,26.4,-14.3,Phase 3,Rainfall recorded,Non-positive SOI
